macro	latex	meaning	domain	defined_in	note
BCbond	\varrho_{\mathrm b}	prescribed stationary density in a finite BC bond model	finite BC states	RC-02E	distinct from the arbitrary channel input X
BCres	\varrho^{\mathrm{res}}_{#1}	diagonal matrix extension of a finite BC phase marginal	finite BC states	RC-02E	not a representation of the full BC algebra
Par	\mathsf P	local parity operator x -> -x on l^2(F_p)	finite Weil model	RC-02E	operator parity is conjugation by this involution
Gcone	\mathfrak C	cone of stationary covariant finite GKLS generators	finite channels	RC-02E	dimension means real linear-span dimension
Choi	\mathsf C	unnormalised Choi matrix of a linear map	finite channels	RC-02E	conditional positivity on the maximally entangled vector complement
Dep	\mathcal D	completely depolarizing channel D_d(X) = Tr(X) I/d	finite channels	RC-02E	distinct from the deformed degree operator Dop(u)
Tr	\operatorname{Tr}	trace	general	RC-01	-
Ad	\operatorname{Ad}	adjoint action, Ad(A): X -> A X A^dagger	channels	RC-01	column stacking: Ad(A) = bar A (x) A
re	\operatorname{Re}	real part	general	RC-01	-
im	\operatorname{Im}	imaginary part	general	RC-01	-
Mn	M_n	n x n complex matrices with the Hilbert-Schmidt inner product	channels	RC-01	-
Vsp	\mathcal V	vertex space of the non-backtracking construction (V = M_n in the channel case), N = dim V	quantum Ihara	RC-08	note uses V; renamed to avoid the vertex set V of a graph
Wsp	\mathcal W	edge space V (x) C^D	quantum Ihara	RC-08	note uses W; renamed to avoid the Weil representation W(g)
Hash	T	non-backtracking (Hashimoto) edge operator, classical on directed edges or quantum on the edge space	graphs, quantum Ihara	RC-02	T is reserved for this; the flow generator of RC-03 is G
flowgen	\mathcal G	generator of the length flow whose trace is the prime measure, eigenvalues 1, rho, -2, -4, ...	Riemann channel	RC-03	note what-rh-has-become uses T; renamed
Eop	\mathcal E_{#1}	i-th superoperator of a family (E_i = Ad(A_i) in the Kraus case)	quantum Ihara	RC-08	-
Kr	A_{#1}	i-th Kraus operator	channels	RC-01	-
Un	U_{#1}	i-th unitary Kraus operator	channels	RC-01	-
Sig	\Sigma	unnormalised transfer matrix sum_i E_i (= D Phi for a unital channel)	channels, MPS	RC-01	Sigma is never a summation sign in this book; sums use \sum
chan	\Phi	unital channel (1/D) sum_i U_i X U_i^dagger, or a general channel	channels	RC-01	-
Dk	D	number of Kraus operators (= degree of the bouquet); D = 2m	channels	RC-01	D is never the dilation unitary (\Dil) nor the degree operator (\Dop)
mpairs	m	number of Kraus pairs, D = 2m	quantum Ihara	RC-08	m is never a walk length (\wl)
rev	\iota	fixed-point-free reversal involution on the index set [D], bar i = iota(i)	quantum Ihara	RC-08	note uses sigma; renamed since sigma = Re s
bari	\bar{#1}	reversed index iota(i)	quantum Ihara	RC-08	-
Jrev	\mathsf J	backtracking operator J(v (x) |i>) = E_i v (x) |bar i>	quantum Ihara	RC-08	sans-serif to avoid the Artin-Schreier range J and the split matrix J
Rmap	\mathsf R	propagate-along-edge map R: W -> V	quantum Ihara	RC-08	-
Smap	\mathsf S	start-any-edge map S: V -> W	quantum Ihara	RC-08	sans-serif to avoid the scattering symbol S
Aop	\mathcal A(u)	deformed adjacency u sum_i E_i (1 - u^2 E_{bar i} E_i)^{-1}	quantum Ihara	RC-08	-
Dop	\mathcal D(u)	deformed degree u^2 sum_i E_{bar i} E_i (1 - u^2 E_{bar i} E_i)^{-1}	quantum Ihara	RC-08	-
zetaT	\zeta_{T}	zeta function det(1 - uT)^{-1} of a non-backtracking operator	quantum Ihara	RC-08	-
zetaq	\zeta_{\Phi}	quantum Ihara zeta of a unital channel with unitary Kraus operators	quantum Ihara	RC-02	the unitary instance of \zetaT
zetaX	\zeta_{X}	Ihara zeta of a graph X	graphs	RC-02	-
Aadj	A	adjacency matrix of a graph	graphs	RC-02	-
Hecke	\mathsf A_{#1}	adjacency operator of the LPS Cayley graph for norm-q quaternions (Hecke operator)	Weil-LPS	RC-05	note uses A_q; sans-serif to avoid the Kraus operators A_i
