id	key	file	lines	quote	used_by
prov:bomb00-yoshida-log2	bombieri-2000	paper.txt	111-112	of this functional for functions supported in a fixed interval [−t; t ] can be reduced to a finite calculation (depending on t ), and verifies this positivity for t = (log 2)=2.	cit:yoshida-short-support
prov:bomb00-abstract-small-t	bombieri-2000	paper.txt	51-52	prove again Yoshida’s theorem that it is positive definite if t is sufficiently small.	cit:bombieri-short-support
prov:bomb00-thm12	bombieri-2000	paper.txt	2649	Theorem 12. If F (x) has compact support in an interval I of length |I | < log 2 we have	cit:bombieri-short-support
prov:bomb00-no-primes	bombieri-2000	paper.txt	2660-2661	a < log 2. Then G (x) is supported in [−a; a] ⊂ (− log 2; log 2). Thus in the Explicit Formula as above for T [G ], the contribution of the sum involving Λ(n) vanishes.	cit:bombieri-short-support
prov:bomb00-digamma-asymp	bombieri-2000	paper.txt	2693	( + i ) = log+ |v | + O(1);	cit:bombieri-short-support
prov:bomb00-prime-at-infinity	bombieri-2000	paper.txt	117-119	It is noteworthy that the proof of the first result hinges on the special structure of the term for the «prime at infinity» in the Explicit Formula.	cit:bombieri-short-support
prov:bomb00-neg-eigen	bombieri-2000	paper.txt	54-56	if the Riemann Hypothesis is false but only with finitely many non-trivial zeros off the critical line we show that the number of negative eigenvalues is precisely one-half of the number of zeros failing to satisfy the Riemann Hypothesis, provided the truncation is big enough.	cit:bombieri-negative-eigenvalues
prov:yosh92-log2-intro	yoshida-1992	paper.txt	122-123	faithfully, when a= log 2/2: We find ( , )IK(a) is positive definite for a :::; log 2/2 (Theorem 1).	cit:yoshida-short-support
prov:yosh92-sec6	yoshida-1992	paper.txt	1215	Let k = Q and a= log 2/2. In this section, we shall prove	cit:yoshida-short-support
prov:yosh92-thm1	yoshida-1992	paper.txt	1740	Theorem 1. Let a= log 2/2. We have	cit:yoshida-short-support
prov:yosh92-thm1-equality	yoshida-1992	paper.txt	1744	where equality holds if and only if cp = 0.	cit:yoshida-short-support
prov:yosh92-computer	yoshida-1992	paper.txt	1690-1691	every diagonal entries are positive at the final step. This fact can be verified rather easily on a computer.	cit:yoshida-short-support
prov:yosh92-small-a	yoshida-1992	paper.txt	64	is positive definite if a is sufficiently small.	cit:yoshida-short-support
prov:yosh92-local-means-support	yoshida-1992	paper.txt	343	§2. Local positive definiteness	cit:yoshida-short-support
prov:yosh92-t0	yoshida-1992	paper.txt	1265	We have t 0 = 2.0320 · · ·.	cit:archimedean-symbol-sign
prov:cc20-weil-ineq-1half-2	2006.13771	weil-compo.tex	116	\textit{For any smooth,  positive definite function $f$ with support in the  interval $(1/2,2)$ and whose Fourier transform vanishes at $\pm \frac i2$ one has: $W_\infty(f)\geq 0$ where $W_\infty:=-W_\R$.}	cit:yoshida-short-support
prov:cc20-proved-by-yoshida	2006.13771	weil-compo.tex	118	This result was proved in \cite{yoshida} by reducing it to an explicit computation.	cit:yoshida-short-support
prov:cc20-bombieri-small	2006.13771	weil-compo.tex	2054	In \cite{EB0} and \cite{Burnol}  a positivity result for the distribution ${\mathcal W}_\infty=-{\mathcal W}_\R$ is proven, (for test functions with support in a small enough interval around $1$),	cit:bombieri-short-support
