id	term	shard	status	provenance	merged_from
def:bc-finite-phase	finite BC phase marginal and matrix extension	report/sections/02e_definitions_symmetry.tex	stipulated	-	notes/bc-symmetry-generators.md B0
def:finite-arithmetic-covariance	local Galois, linear symplectic and Weyl-translation covariance	report/sections/02e_definitions_symmetry.tex	stipulated	-	notes/bc-symmetry-generators.md B1
def:stationary-covariant-cone	stationary covariant finite GKLS cone	report/sections/02e_definitions_symmetry.tex	stipulated	-	notes/bc-symmetry-generators.md B2
def:generator-choi	conditional Choi matrix and depolarizing channel	report/sections/02e_definitions_symmetry.tex	stipulated	-	notes/bc-symmetry-generators.md B2
def:side-a-side-b	side A and side B	report/sections/02_definitions.tex	stipulated	-	what-rh-has-become:0; deligne-via-graphs:1; README
def:one-identity	the one identity	report/sections/02_definitions.tex	stipulated	-	what-rh-has-become:0
def:ring-norm	ring norm	report/sections/02_definitions.tex	stipulated	-	what-rh-has-become:4; riemann-channel-note:5
def:transfer-matrix	transfer matrix of an MPS	report/sections/02_definitions.tex	stipulated	-	what-rh-has-become:4; artin-schreier-mps:2
def:canonical-form	canonical form	report/sections/02_definitions.tex	stipulated	-	what-rh-has-become:4
def:correlation-length	correlation length	report/sections/02_definitions.tex	stipulated	-	what-rh-has-become:4
def:small-matrix	small matrix	report/sections/02_definitions.tex	stipulated	-	what-rh-has-become:2
def:rh-analogue	RH analogue (Ramanujan property)	report/sections/02_definitions.tex	stipulated	-	what-rh-has-become:2,3,4,5; deligne-via-graphs:1; weil-lps-channels:4
def:nonbacktracking-walk	non-backtracking walk, prime cycle	report/sections/02_definitions.tex	stipulated	-	deligne-via-graphs:1; what-rh-has-become:3
def:ihara-zeta	Ihara zeta function	report/sections/02_definitions.tex	stipulated	-	deligne-via-graphs:1; what-rh-has-become:3
def:hashimoto-operator	Hashimoto (non-backtracking edge) operator	report/sections/02_definitions.tex	stipulated	-	deligne-via-graphs:1; quantum-ihara-general:1; transcript 08:15
def:ihara-bass	Ihara-Bass formula	report/sections/02_definitions.tex	stipulated	-	deligne-via-graphs:1; what-rh-has-become:3
def:ramanujan-graph	Ramanujan graph	report/sections/02_definitions.tex	stipulated	-	what-rh-has-become:3; deligne-via-graphs:1
def:channel	quantum channel, Kraus operators, unital, mixed-unitary	report/sections/02_definitions.tex	stipulated	-	riemann-channel-note:3; weil-lps-channels:1; quantum-ihara-general:1
def:quantum-expander	quantum expander	report/sections/02_definitions.tex	stipulated	-	transcript 08:15; weil-lps-channels:2
